t_index term df
1569 carlson 1
1570 carlton 1
1571 carman 1
1572 carmelo 2
1573 carmen 4
1574 carmodi 4
1575 carnahan 66
1576 carnahand 1
1577 carol 6
1578 carolina 5
1579 carpent 7
1580 carper 8
1581 carpet 3
1582 carpetbagg 2
1583 carr 1
1584 carri 182
1585 carrier 20
1586 carrol 2
1587 carrot 1
1588 carson 5
1589 cart 1
1590 carter 10
1591 carthag 2
1592 carv 9
1593 carver 1
1594 case 168
1595 casetch 1
1596 cash 22
1597 cashier 1
1598 casino 1
1599 casket 16
1600 cast 47
1601 castellano 2
1602 castiel 1
1603 castil 1
1604 castleburi 4
1605 castro 8
1606 casual 2
1607 casualti 22
1608 cat 2
1609 cataclysm 1
1610 catalyst 1
1611 catastroph 12
1612 catcal 1
1613 catch 15
1614 cate 4
1615 categor 1
1616 categori 1
1617 caterpillar 2
1618 cathedr 1
1619 catherin 3
1620 cathi 1
1621 cathol 7
1622 cattl 2
1623 caucasian 2
1624 caught 46
1625 caus 132
1626 caution 18
1627 cautiou 19
1628 cautious 2
1629 cave 3
1630 cavern 1
1631 cavort 1
1632 cawl 3
1633 cayman 3
1634 cb 5
1635 cd 1
1636 ceas 7
1637 ceaselessli 2
1638 ceausescu 1
1639 cecil 1
1640 cedar 2
1641 cede 3
1642 cedomir 1
1643 cedric 6
1644 ceil 2
1645 celebr 83
1646 celebrateor 1
1647 celera 1
1648 celest 1
1649 cell 23
1650 cellblock 1
1651 cellphon 2
1652 cellular 10
1653 cement 6
1654 cemeteri 8
1655 censor 2
1656 censorship 2
1657 cent 1
1658 center 140
1659 centerpiec 2
1660 centigrad 1
1661 centimet 1
1662 central 84
1663 centrist 6
1664 centuri 24
1665 ceo 1
1666 ceremoni 52
1667 cerf 9
1668 cerna 3
1669 certain 36
1670 certainli 56
1671 certainti 4
1672 certif 3
1673 certifi 3
1674 cesar 2
1675 cessat 1
1676 cessna 7
1677 cetera 1
1678 cetinj 1
1679 cha 1
1680 chad 1
1681 chadwick 2
1682 chafe 3
1683 chagrin 1
1684 chain 10
1685 chair 17
1686 chairman 55
1687 chairmen 3
1688 chalk 2
1689 challeng 84
1690 chamber 16
1691 chamberlain 2
1692 chameleon 1
1693 champ 9
